"t","s","i","r","place","betap","gammap","M1","M2","M3"
50.1,23693745,8499655,30612572,3,1.06147e-08,0.33333,4,5,0
50.15,21059075,272070.7,868943.6,1,2.022192e-08,0.33333,0,5,5
50.15,446966.3,50081.29,1520921,2,3.303601e-07,0.33333,0,0,6
50.15,23587320,8464711,30753941,3,1.06147e-08,0.33333,6,1,0
50.2,21053269,273331.3,873488.6,1,2.022192e-08,0.33333,0,2,2
50.2,446598.4,49618.36,1521752,2,3.303601e-07,0.33333,4,0,6
50.2,23481810,8429437,30894725,3,1.06147e-08,0.33333,10,0,0
50.25,21047438,274596.8,878054.6,1,2.022192e-08,0.33333,0,2,8
50.25,446234.2,49159.02,1522575,2,3.303601e-07,0.33333,5,0,6
50.25,23377213,8393841,31034918,3,1.06147e-08,0.33333,8,6,0
50.3,21041582,275866.2,882641.7,1,2.022192e-08,0.33333,0,2,8
50.3,445873.7,48703.88,1523390,2,3.303601e-07,0.33333,4,0,6
50.3,23273523,8357934,31174515,3,1.06147e-08,0.33333,4,8,0
50.35,21035700,277139.5,887250.1,1,2.022192e-08,0.33333,0,9,5
50.35,445516.8,48252.81,1524198,2,3.303601e-07,0.33333,8,0,4
50.35,23170736,8321725,31313511,3,1.06147e-08,0.33333,4,4,0
50.4,21029793,278417.1,891879.6,1,2.022192e-08,0.33333,0,1,2
50.4,445163.5,47805.7,1524999,2,3.303601e-07,0.33333,0,0,3
50.4,23068848,8285223,31451901,3,1.06147e-08,0.33333,0,2,0
50.45,21023860,279698.8,896530.6,1,2.022192e-08,0.33333,0,1,0
50.45,444813.7,47362.4,1525792,2,3.303601e-07,0.33333,8,0,5
50.45,22967855,8248436,31589681,3,1.06147e-08,0.33333,4,3,0
50.5,21017902,280985.5,901202.9,1,2.022192e-08,0.33333,0,5,4
50.5,444467.5,46922.49,1526577,2,3.303601e-07,0.33333,0,0,0
50.5,22867752,8211375,31726845,3,1.06147e-08,0.33333,9,4,0
50.55,21011918,282275.8,905896.7,1,2.022192e-08,0.33333,0,2,2
50.55,444124.7,46487.3,1527356,2,3.303601e-07,0.33333,1,0,2
50.55,22768535,8174047,31863389,3,1.06147e-08,0.33333,3,3,0
50.6,21005908,283570.3,910612,1,2.022192e-08,0.33333,0,3,5
50.6,443785.4,46055.54,1528127,2,3.303601e-07,0.33333,7,0,4
50.6,22670199,8136463,31999309,3,1.06147e-08,0.33333,3,2,0
50.65,20999872,284869.1,915348.9,1,2.022192e-08,0.33333,0,0,4
50.65,443449.5,45627.14,1528891,2,3.303601e-07,0.33333,10,0,4
50.65,22572740,8098631,32134601,3,1.06147e-08,0.33333,4,2,0
50.7,20993810,286172.6,920107.6,1,2.022192e-08,0.33333,0,8,7
50.7,443117,45202.17,1529648,2,3.303601e-07,0.33333,7,0,1
50.7,22476152,8060560,32269259,3,1.06147e-08,0.33333,6,0,0
50.75,20987723,287479.6,924887.9,1,2.022192e-08,0.33333,0,3,1
50.75,442787.8,44781.51,1530398,2,3.303601e-07,0.33333,0,0,4
50.75,22380432,8022259,32403282,3,1.06147e-08,0.33333,2,3,0
50.8,20981609,288790.8,929690.1,1,2.022192e-08,0.33333,0,2,1
50.8,442461.9,44364.62,1531141,2,3.303601e-07,0.33333,7,0,4
50.8,22285573,7983735,32536664,3,1.06147e-08,0.33333,3,4,0
50.85,20975470,290106.6,934514.2,1,2.022192e-08,0.33333,0,2,4
50.85,442139.3,43951.03,1531877,2,3.303601e-07,0.33333,13,0,2
50.85,22191571,7944998,32669403,3,1.06147e-08,0.33333,2,7,0
50.9,20969304,291426.8,939360.3,1,2.022192e-08,0.33333,0,2,5
50.9,441819.9,43541.02,1532606,2,3.303601e-07,0.33333,1,0,8
50.9,22098421,7906057,32801494,3,1.06147e-08,0.33333,1,8,0
50.95,20963112,292750.3,944228.4,1,2.022192e-08,0.33333,0,8,3
50.95,441503.7,43134.94,1533328,2,3.303601e-07,0.33333,0,0,0
50.95,22006118,7866919,32932934,3,1.06147e-08,0.33333,0,3,0
51,20956894,294077.8,949118.6,1,2.022192e-08,0.33333,0,9,1
51,441190.7,42732.93,1534043,2,3.303601e-07,0.33333,1,0,6
51,21914657,7827594,33063721,3,1.06147e-08,0.33333,7,6,0
51.05,20950650,295409.9,954030.9,1,2.022192e-08,0.33333,0,4,12
51.05,440880.9,42334.31,1534752,2,3.303601e-07,0.33333,8,0,3
